iter	Passed	Remaining
962	57472	2208
963	57530	2148
964	57584	2088
965	57642	2028
966	57703	1969
967	57763	1909
968	57819	1849
969	57878	1790
970	57934	1730
971	57991	1670
972	58047	1610
973	58106	1551
974	58165	1491
975	58219	1431
976	58276	1371
977	58339	1312
978	58399	1252
979	58455	1192
980	58508	1133
981	58566	1073
982	58621	1013
983	58680	954
984	58733	894
985	58793	834
986	58847	775
987	58902	715
988	58957	655
989	59018	596
990	59076	536
991	59133	476
992	59193	417
993	59254	357
994	59311	298
995	59372	238
996	59431	178
997	59492	119
998	59549	59
999	59605	0
